mod_id,mod_name,mod_slug,captured_comment_count,displayed_equals_captured_by_construction
4474487,Ancient Mega Pack,ancient-mega-pack-rel,3666,TRUE
4561805,Item and Spell Bug Fixes,item-and-spell-bug-fixes,1795,TRUE
4379538,Mystra's Spells,mystras-spells,1030,TRUE
4376248,FearTaylor's Camp Clothes,feartaylors-camp-clothes,753,TRUE
4419649,DnD 5.5e All-in-One BEYOND,dnd55e,718,TRUE
4350636,Mind Weaver Class,mindweaver1,704,TRUE
4330455,Dread Overlord - Necromancer V9.11 (IGMM),dread-overlord-console-version,628,TRUE
4340213,Arcane Vanguard,arcane-vanguard1,535,TRUE
4484016,Extra encounters and Minibosses,extra-encounters-and-minibosses,518,TRUE
4330140,Pathfinder 2nd Edition,pathfinder2ndedition,516,TRUE
4678933,2024 Spell Updates,2024-spell-updates,492,TRUE
4256380,PixellBytes' Adjustable Party Limit,adjustable-party-limit,488,TRUE
4166963,UnlockLevelCurve - Level 13-20 | Patch 8,unlocklevelcurve,482,TRUE
4985426,BG3 - Chocolate Edition,bg3-chocolate-edition17,471,TRUE
4384198,Random Spawns (Comprehensive Difficulty Boost)(P8),random-spawn-generator,469,TRUE
4322054,Cheaters Spell Scroll - Formerly Cheaters Ring,cheaters-ring,460,TRUE
4335717,PolyamoryFixes,polyamoryfixes,442,TRUE
4347459,Aasimar Race Mod,aasimar-race,422,TRUE
4327232,Witch Class,witch-class,404,TRUE
4368921,Dark Urge - Slayer Equipments and Spells,dark-urge-slayer-equipment-and-spells,397,TRUE
4336343,Vampire Origin,vampire-origin,352,TRUE
4366803,Wings Unlocked,wings-unlocked,345,TRUE
4415333,Transmogs and Spelltheft,ring-of-identity-theft-doppelganger-ring,342,TRUE
4344359,DnD Expanded,dnd-expanded,335,TRUE
4358020,Demon Hunter Class,demon-hunter-class,305,TRUE
4443057,Origin Mirror Unlock,origin-mirror-unlock,302,TRUE
4453887,Plasma Weapons - Darkh Set,plasma-sword-darkh-saber-set,270,TRUE
4458227,Fade's Equipment Distribution,fades-equipment-distribution-fed,267,TRUE
4122086,FaerunColors,faeruncolors,266,TRUE
4470116,5e Fighter Subclasses Combined (with Echo Knight),5e-fighter-subclasses-combined,234,TRUE
4365904,Esther's Brilliant Acqusitions,esthers-brilliant-acqusitions,232,TRUE
4331490,Blood Mage,blood-mage,224,TRUE
4528238,chooseyourstats_modio,chooseyourstats-modio,221,TRUE
4759381,NIGHTBRINGER_CLASS (Class Mod),nightbringerclass,219,TRUE
4788196,Make a Wish,makeawish,213,TRUE
4555162,Rise of the Goldmembers (New Content - All in One),rise-of-the-goldmembers,212,TRUE
4213146,ContainersExtended,containersextended,211,TRUE
4254493,featsextra modio version,featsextra-modio-version,211,TRUE
4406168,Vastly Improved Feats - Buffs + Nerfs,vastly-improved-feats-buffs-nerfs,211,TRUE
4317849,Mystic Class,mystic-class1,209,TRUE
4467966,Baldur's Gate 2 Weapons and Armours,baldurs-gate-2-armaments,206,TRUE
4360464,Big Busty Body,big-big-body,204,TRUE
4348340,Artificer for Home Brew - Comprehensive Reworks,artificer-for-home-brew-comprehensive-reworks,203,TRUE
4338946,FacesUnlocked,facesunlocked,199,TRUE
4444102,PixellBytes' Tactician Enhanced,tactician-enhanced,196,TRUE
4636439,Nightmare difficulty,nightmare-difficulty,196,TRUE
4669451,The Conjurer,the-conjurer,195,TRUE
4352590,Become a Vampire,become-a-vampire,192,TRUE
4284034,Manaflare - Magic Aura Weapons,manaflare,191,TRUE
4364315,Deadlier Honour Mode,slightly-deadlier-honour-mode,189,TRUE
4343182,Werewolf Origin,werewolf-origin,188,TRUE
4563692,Spellsword Class,spellsword-class,185,TRUE
4347177,The Treasure Trove,the-treasure-trove,183,TRUE
4451939,Angel Themed Race and Class,erinyes,174,TRUE
4343518,Better Hotbar [Vova's Edition],better-hotbar-vovas-edition,171,TRUE
4501500,Double Enemies,double-enemies,169,TRUE
4644924,Transmogrification Lite,transmogrification-lite,169,TRUE
4329024,HairUnlocked,morehairoptions,168,TRUE
4340413,Marauder,marauder,166,TRUE
5162542,Feats 2024-ish,feats2024ish,165,TRUE
5138870,Queen's Garments,queens-garments,164,TRUE
5019468,The Elder,primordialsorcerer,162,TRUE
4542154,Vampire Origin New,vampire-origin-new,158,TRUE
4548903,Shovel Evolved,shovel-evolved,156,TRUE
5057667,Unyielding Radiance ~READ DESC BEFORE UPDATING~,vestments-of-unyielding-radiance,154,TRUE
4138213,ImpUI (ImprovedUI),impui,152,TRUE
4434096,Cosmic Sorcery,cosmic-sorcery1,152,TRUE
4679302,Baldur's Gate 2 Spells,baldurs-gate-2-spells,152,TRUE
4918115,Fade's Equipment Distribution AIO,fades-equipment-distribution-aio,152,TRUE
4351342,Hexblade Subclass for Warlock,hexblade-subclass-for-warlock,151,TRUE
4466191,5e Barbarian Subclasses Combined,5e-barbarian-subclasses-combined2,151,TRUE
4370351,Dragontamer,dragontamerdragonwarrior,148,TRUE
4327499,Levelcap 260,levelcap-260,144,TRUE
4522893,Custom Companions Lite,customcompanionslite,142,TRUE
4375405,GabesMod (Combat AI and Optional Cooldown Reset),gabesmod-combat-ai-and-optional-cooldown-reset,140,TRUE
4327766,ProgressiveWeapons,progressiveweapons,138,TRUE
4400584,Jujutsu Kaisen -  Gojo | Sukuna,jujutsukaisen1,138,TRUE
4361243,Arch Devil - Playable Race,arch-devil-playable-race,137,TRUE
5328005,Combat Encounters (Random Spawns Lite),combat-encounters-random-spawns-lite,137,TRUE
4345659,Alfira Joins The Party,alfirajoinstheparty,135,TRUE
5312062,Gabe's Fun Pack,gabes-fun-pack,133,TRUE
4397962,Elemental Cantrips,elemental-cantrips1,132,TRUE
4467214,Sets of Faerun,sets-of-faerun,131,TRUE
4378321,Pactbound - A Warlock Overhaul,betterwarlock,130,TRUE
4987480,Sword Dancers of Eilistraee,sword-dancers-of-eilistraee,129,TRUE
5714166,DTO: Otherworldly Archetypes,dto-otherworldly-archetypes,129,TRUE
4134411,Faces of Faerun,faces-of-faerun,128,TRUE
4515417,The Alchemist,the-alchemist,128,TRUE
4328427,The Celestial Warlock Subclass - 5e Rules,the-celestial-warlock-subclass-5e-rules,125,TRUE
4549220,Drakewarden Ranger,drakewarden-ranger,125,TRUE
4416643,Faerie Race,faerierace,124,TRUE
4531669,Ring of True Action,ring-of-true-action,120,TRUE
5224295,Brutal Difficulty,brutaldifficulty,119,TRUE
4417761,Show Camp Night Notification,show-camp-night-notification,118,TRUE
4593174,Origin Classes - Complete,originclasslevels,117,TRUE
4195375,Secret Scrolls,secretscrolls,115,TRUE
4348734,Reginald's Goblin Race,reginalds-goblin-race,115,TRUE
4603398,Camp Activities (P8),camp-activities-wip,115,TRUE
4386148,Elementalist Class (Legacy),elementalist-class,114,TRUE
4516388,AW's Lightning Assasssssin,lightning-loot1,114,TRUE
5218924,Blood Hunter Class,blood-hunter,114,TRUE
5046593,Eternal Queen Set,eternal-queen-set,113,TRUE
4380328,Selune Armory,selune-armory,112,TRUE
5705626,Mutant Powers Marvels X-Men,mutant-powers-x-men,112,TRUE
4333254,Priest Class,priest-class2,109,TRUE
4407068,Duskblade,duskblade,109,TRUE
4317766,Kuo-Toa Playable Race,kuo-toa-playable-race,107,TRUE
4358882,5e Spells: WIP,5e-spells-wip,107,TRUE
